time,G(i),H_sun,T2m,WS10m,Int
20200115:1309,843.26,33.45,13.37,2.97,0.0
20200115:1409,735.78,27.4,13.79,2.83,0.0
20200115:1509,576.99,18.95,13.83,2.21,0.0
20200115:1609,324.75,8.85,13.57,1.79,0.0
20200115:1709,0.0,0.0,12.8,1.59,0.0
20200115:1809,0.0,0.0,11.49,1.79,0.0
20200115:1909,0.0,0.0,10.26,1.86,0.0
20200115:2009,0.0,0.0,8.96,1.93,0.0
20200115:2109,0.0,0.0,7.72,2.14,0.0
20200115:2209,0.0,0.0,6.54,2.21,0.0
20200115:2309,0.0,0.0,5.45,2.41,0.0
20200116:0009,0.0,0.0,4.5,2.41,0.0
20200116:0109,0.0,0.0,3.67,2.34,0.0
20200116:0209,0.0,0.0,2.93,2.34,0.0
20200116:0309,0.0,0.0,2.44,2.69,0.0
20200116:0409,0.0,0.0,1.96,2.83,0.0
20200116:0509,0.0,0.0,1.37,2.83,0.0
20200116:0609,0.0,0.0,0.75,2.83,0.0
20200116:0709,15.14,3.47,0.14,2.76,0.0
20200116:0809,170.6,14.18,1.07,2.14,0.0
20200116:0909,739.82,23.56,4.97,1.38,0.0
20200116:1009,824.97,30.94,9.39,0.83,0.0
20200116:1109,1037.74,35.48,10.89,0.34,0.0
20200116:1209,1060.31,36.45,11.84,0.69,0.0
20200116:1309,853.15,33.65,12.38,0.9,0.0
20200116:1409,711.13,27.6,12.78,0.69,0.0
20200116:1509,459.11,19.14,12.82,0.41,0.0
20200116:1609,122.74,9.03,12.78,1.03,0.0
20200116:1709,0.0,0.0,12.38,1.59,0.0
20200116:1809,0.0,0.0,11.61,2.0,0.0
20200116:1909,0.0,0.0,10.98,1.93,0.0
20200116:2009,0.0,0.0,10.23,2.07,0.0
20200116:2109,0.0,0.0,9.36,2.21,0.0
20200116:2209,0.0,0.0,8.65,2.21,0.0
20200116:2309,0.0,0.0,7.88,2.28,0.0
20200117:0009,0.0,0.0,7.21,2.55,0.0
20200117:0109,0.0,0.0,6.47,2.69,0.0
20200117:0209,0.0,0.0,6.09,2.83,0.0
20200117:0309,0.0,0.0,5.24,3.03,0.0
20200117:0409,0.0,0.0,4.54,3.17,0.0
20200117:0509,0.0,0.0,3.73,3.38,0.0
20200117:0609,0.0,0.0,2.94,3.52,0.0
20200117:0709,142.29,3.52,2.28,3.66,0.0
20200117:0809,440.44,14.26,3.37,3.17,0.0
20200117:0909,702.58,23.67,7.05,2.76,0.0
20200117:1009,856.89,31.08,10.86,2.55,0.0
20200117:1109,930.35,35.65,13.18,2.41,0.0
20200117:1209,892.73,36.64,14.36,2.07,0.0
20200117:1309,873.95,33.86,15.21,2.0,0.0
20200117:1409,756.14,27.81,15.82,2.14,0.0
20200117:1509,585.14,19.34,16.09,2.14,0.0
20200117:1609,295.65,9.22,15.99,2.14,0.0
20200117:1709,0.0,0.0,15.15,1.66,0.0
20200117:1809,0.0,0.0,13.87,1.45,0.0
20200117:1909,0.0,0.0,12.15,1.38,0.0
20200117:2009,0.0,0.0,11.57,0.9,0.0
20200117:2109,0.0,0.0,11.15,0.21,0.0
20200117:2209,0.0,0.0,9.37,1.31,0.0
20200117:2309,0.0,0.0,6.77,2.28,0.0
20200118:0009,0.0,0.0,5.74,3.1,0.0
20200118:0109,0.0,0.0,4.86,3.59,0.0
20200118:0209,0.0,0.0,4.43,4.0,0.0
20200118:0309,0.0,0.0,4.32,4.28,0.0
20200118:0409,0.0,0.0,3.98,3.86,0.0
20200118:0509,0.0,0.0,3.5,3.79,0.0
20200118:0609,0.0,0.0,3.14,3.93,0.0
20200118:0709,131.6,3.58,2.71,4.14,0.0
20200118:0809,446.68,14.34,4.01,3.45,0.0
20200118:0909,733.29,23.78,7.58,2.55,0.0
20200118:1009,884.1,31.23,11.19,2.28,0.0
20200118:1109,952.86,35.84,13.07,2.41,0.0
20200118:1209,919.5,36.85,14.08,1.93,0.0
20200118:1309,898.18,34.07,14.74,1.38,0.0
20200118:1409,764.42,28.02,15.19,1.17,0.0
20200118:1509,576.67,19.54,15.37,0.62,0.0
20200118:1609,300.64,9.41,15.35,0.62,0.0
20200118:1709,0.0,0.0,14.91,0.62,0.0
20200118:1809,0.0,0.0,13.87,1.52,0.0
20200118:1909,0.0,0.0,12.44,2.34,0.0
20200118:2009,0.0,0.0,11.16,2.76,0.0
20200118:2109,0.0,0.0,10.23,3.1,0.0
20200118:2209,0.0,0.0,9.62,3.31,0.0
20200118:2309,0.0,0.0,9.04,3.31,0.0
20200119:0009,0.0,0.0,8.28,3.59,0.0
20200119:0109,0.0,0.0,7.46,3.79,0.0
20200119:0209,0.0,0.0,6.95,3.93,0.0
20200119:0309,0.0,0.0,6.5,3.93,0.0
20200119:0409,0.0,0.0,6.28,4.0,0.0
20200119:0509,0.0,0.0,6.08,4.07,0.0
20200119:0609,0.0,0.0,5.79,4.14,0.0
20200119:0709,124.54,3.65,5.34,4.07,0.0
20200119:0809,392.92,14.43,6.5,4.14,0.0
20200119:0909,716.76,23.9,9.05,4.83,0.0
20200119:1009,887.38,31.38,11.69,5.72,0.0
20200119:1109,792.57,36.02,13.67,6.34,0.0
20200119:1209,922.47,37.06,15.11,6.76,0.0
20200119:1309,270.97,34.29,16.06,6.9,0.0
20200119:1409,48.24,28.23,16.5,6.76,0.0
20200119:1509,93.65,19.74,16.49,6.48,0.0
20200119:1609,31.22,9.6,15.93,6.07,0.0
20200119:1709,0.0,0.0,14.69,4.34,0.0
20200119:1809,0.0,0.0,13.63,3.24,0.0
20200119:1909,0.0,0.0,12.94,3.24,0.0
20200119:2009,0.0,0.0,11.76,3.24,0.0
20200119:2109,0.0,0.0,10.71,3.31,0.0
20200119:2209,0.0,0.0,9.9,3.45,0.0
20200119:2309,0.0,0.0,8.87,3.38,0.0
20200120:0009,0.0,0.0,7.92,3.24,0.0
20200120:0109,0.0,0.0,7.01,3.38,0.0
20200120:0209,0.0,0.0,6.22,3.45,0.0
20200120:0309,0.0,0.0,5.49,3.72,0.0
