time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130106:1000,11.51,50.3,573.0,863.88,113.0,263.0,3.38,39.0,99893.0
20130106:1100,13.9,42.05,676.0,915.05,116.0,269.8,3.66,34.0,99816.0
20130106:1200,15.51,35.95,704.0,908.11,125.0,275.6,3.72,30.0,99690.0
20130106:1300,16.45,32.2,665.0,895.41,121.0,279.0,3.52,24.0,99544.0
20130106:1400,17.02,29.95,554.0,824.59,122.0,281.4,3.52,17.0,99457.0
20130106:1500,17.27,28.85,397.0,762.07,98.0,281.4,3.72,12.0,99389.0
20130106:1600,17.08,29.1,196.0,576.91,68.0,280.6,3.93,11.0,99399.0
20130106:1700,16.3,30.95,0.0,0.0,0.0,278.0,3.52,6.0,99428.0
20130106:1800,14.72,34.7,0.0,0.0,0.0,275.0,3.59,1.0,99467.0
20130106:1900,13.59,37.0,0.0,0.0,0.0,271.8,3.93,1.0,99476.0
20130106:2000,12.5,39.95,0.0,0.0,0.0,269.2,3.93,7.0,99496.0
20130106:2100,11.48,42.95,0.0,0.0,0.0,267.0,3.93,12.0,99515.0
20130106:2200,10.52,46.0,0.0,0.0,0.0,265.2,3.86,18.0,99506.0
20130106:2300,9.59,49.25,0.0,0.0,0.0,263.6,3.93,23.0,99486.0
20130107:0000,8.73,52.45,0.0,0.0,0.0,262.0,3.93,28.0,99496.0
20130107:0100,7.89,55.8,0.0,0.0,0.0,260.6,3.86,32.0,99428.0
20130107:0200,7.12,59.15,0.0,0.0,0.0,259.6,3.86,36.0,99428.0
20130107:0300,6.37,62.6,0.0,0.0,0.0,258.2,3.86,40.0,99380.0
20130107:0400,5.65,66.25,0.0,0.0,0.0,257.0,3.79,45.0,99370.0
20130107:0500,4.94,70.05,0.0,0.0,0.0,255.8,3.72,47.0,99389.0
20130107:0600,4.27,73.9,0.0,0.0,0.0,254.2,3.66,48.0,99418.0
20130107:0700,3.82,76.15,23.0,322.26,10.0,254.0,3.45,47.0,99467.0
20130107:0800,4.36,73.65,222.0,663.14,65.0,254.2,2.97,49.0,99525.0
20130107:0900,7.53,59.2,419.0,807.62,92.0,257.6,2.62,48.0,99573.0
20130107:1000,10.97,46.8,577.0,879.41,108.0,263.6,2.41,42.0,99593.0
20130107:1100,13.69,38.8,673.0,898.49,122.0,271.0,2.34,34.0,99535.0
20130107:1200,15.7,33.8,710.0,926.07,118.0,277.8,2.48,29.0,99438.0
20130107:1300,17.0,30.8,664.0,879.3,128.0,282.6,2.69,26.0,99312.0
20130107:1400,17.8,28.75,554.0,809.55,128.0,285.0,3.03,23.0,99254.0
20130107:1500,18.23,27.6,396.0,734.44,106.0,285.8,3.38,20.0,99244.0
20130107:1600,18.21,27.45,199.0,579.17,69.0,284.8,3.66,17.0,99263.0
20130107:1700,17.4,29.05,0.0,0.0,0.0,282.4,3.45,6.0,99254.0
20130107:1800,15.66,32.6,0.0,0.0,0.0,279.6,3.79,359.0,99302.0
20130107:1900,14.54,34.6,0.0,0.0,0.0,276.6,4.07,5.0,99331.0
20130107:2000,13.42,36.85,0.0,0.0,0.0,274.0,4.14,8.0,99380.0
20130107:2100,12.34,39.15,0.0,0.0,0.0,271.2,4.07,13.0,99399.0
20130107:2200,11.33,41.45,0.0,0.0,0.0,269.4,4.0,17.0,99409.0
20130107:2300,10.36,43.85,0.0,0.0,0.0,267.0,4.0,22.0,99418.0
20130108:0000,9.46,46.3,0.0,0.0,0.0,265.6,4.07,27.0,99389.0
20130108:0100,8.65,48.75,0.0,0.0,0.0,264.0,4.07,31.0,99380.0
20130108:0200,7.89,51.25,0.0,0.0,0.0,262.6,4.07,35.0,99380.0
20130108:0300,7.18,53.8,0.0,0.0,0.0,261.0,4.07,38.0,99350.0
20130108:0400,6.49,56.45,0.0,0.0,0.0,260.0,4.0,41.0,99380.0
20130108:0500,5.79,59.35,0.0,0.0,0.0,258.6,3.93,42.0,99409.0
20130108:0600,5.12,62.3,0.0,0.0,0.0,257.6,3.86,43.0,99428.0
20130108:0700,4.52,65.3,23.0,299.16,11.0,256.8,3.72,44.0,99496.0
20130108:0800,5.04,63.3,222.0,662.84,65.0,257.0,3.38,47.0,99554.0
20130108:0900,7.98,52.2,415.0,777.02,100.0,260.2,3.17,48.0,99632.0
20130108:1000,11.36,42.0,572.0,847.93,119.0,265.8,2.9,47.0,99651.0
20130108:1100,14.29,35.0,671.0,881.86,129.0,273.2,2.83,43.0,99573.0
20130108:1200,16.57,30.6,716.0,943.8,111.0,280.2,2.97,40.0,99506.0
20130108:1300,18.05,28.0,663.0,863.17,135.0,285.4,3.52,40.0,99399.0
20130108:1400,18.9,26.05,554.0,794.54,134.0,288.0,3.93,36.0,99312.0
20130108:1500,19.31,24.95,399.0,737.23,106.0,289.0,4.28,33.0,99283.0
20130108:1600,19.27,24.8,201.0,568.02,72.0,288.2,4.48,30.0,99302.0
20130108:1700,18.45,26.2,0.0,0.0,0.0,285.6,3.86,19.0,99321.0
20130108:1800,16.58,29.9,0.0,0.0,0.0,282.4,4.07,7.0,99341.0
20130108:1900,15.43,32.75,0.0,0.0,0.0,279.2,4.62,9.0,99380.0
20130108:2000,14.34,35.4,0.0,0.0,0.0,277.0,4.83,13.0,99399.0
20130108:2100,13.37,38.0,0.0,0.0,0.0,274.2,4.9,19.0,99428.0
20130108:2200,12.48,40.6,0.0,0.0,0.0,272.0,4.97,25.0,99418.0
20130108:2300,11.69,43.0,0.0,0.0,0.0,270.0,4.97,32.0,99438.0
20130109:0000,10.92,45.05,0.0,0.0,0.0,268.0,4.97,39.0,99447.0
20130109:0100,10.13,46.6,0.0,0.0,0.0,265.8,4.76,46.0,99418.0
20130109:0200,9.31,48.0,0.0,0.0,0.0,263.8,4.55,53.0,99409.0
20130109:0300,8.46,49.55,0.0,0.0,0.0,261.6,4.34,58.0,99370.0
20130109:0400,7.61,51.75,0.0,0.0,0.0,258.8,4.14,59.0,99409.0
20130109:0500,6.75,54.8,0.0,0.0,0.0,257.2,4.07,57.0,99418.0
20130109:0600,5.97,58.0,0.0,0.0,0.0,254.4,4.14,56.0,99428.0
20130109:0700,5.42,62.45,11.0,0.0,11.0,253.6,4.28,58.0,99506.0
20130109:0800,5.99,60.7,220.0,649.63,66.0,252.2,4.14,59.0,99564.0
20130109:0900,8.67,51.15,418.0,790.65,97.0,253.8,4.0,60.0,99632.0
20130109:1000,11.66,42.15,570.0,831.36,125.0,258.4,4.0,58.0,99622.0
20130109:1100,14.23,35.25,669.0,865.17,136.0,264.2,3.72,52.0,99583.0
20130109:1200,16.32,29.8,710.0,909.96,125.0,270.2,3.72,44.0,99535.0
20130109:1300,17.86,25.35,662.0,847.05,142.0,275.2,3.79,37.0,99409.0
20130109:1400,18.89,22.1,553.0,779.55,139.0,278.0,4.0,35.0,99389.0
20130109:1500,19.5,20.2,402.0,739.87,106.0,278.6,4.55,36.0,99312.0
20130109:1600,19.65,19.45,204.0,574.4,72.0,278.2,5.17,36.0,99283.0
20130109:1700,18.72,20.6,0.0,0.0,0.0,276.0,4.48,25.0,99273.0
20130109:1800,16.69,24.0,0.0,0.0,0.0,273.4,4.62,13.0,99292.0
20130109:1900,15.36,28.45,0.0,0.0,0.0,271.0,5.24,14.0,99341.0
20130109:2000,14.24,31.4,0.0,0.0,0.0,269.0,5.38,19.0,99389.0
20130109:2100,13.25,34.2,0.0,0.0,0.0,267.0,5.17,24.0,99418.0
20130109:2200,12.31,36.8,0.0,0.0,0.0,265.6,4.9,29.0,99418.0
20130109:2300,11.42,38.95,0.0,0.0,0.0,264.2,4.83,36.0,99389.0
20130110:0000,10.6,40.3,0.0,0.0,0.0,262.6,4.76,46.0,99380.0
20130110:0100,9.84,41.1,0.0,0.0,0.0,261.2,4.69,59.0,99331.0
20130110:0200,9.22,41.7,0.0,0.0,0.0,263.6,4.55,70.0,99321.0
20130110:0300,8.65,43.5,0.0,0.0,0.0,268.4,4.21,75.0,99273.0
20130110:0400,7.81,46.95,0.0,0.0,0.0,262.4,3.93,74.0,99254.0
20130110:0500,6.77,51.95,0.0,0.0,0.0,257.4,3.59,65.0,99273.0
20130110:0600,5.59,57.95,0.0,0.0,0.0,254.0,3.31,48.0,99312.0
20130110:0700,4.93,63.6,10.0,0.0,10.0,255.6,3.52,42.0,99380.0
20130110:0800,5.19,63.5,213.0,577.2,76.0,249.4,3.24,38.0,99409.0
20130110:0900,8.01,53.0,377.0,550.79,153.0,251.8,3.24,37.0,99476.0
20130110:1000,11.06,43.45,510.0,561.16,209.0,256.8,3.1,37.0,99486.0
20130110:1100,13.82,36.0,686.0,934.24,109.0,263.2,2.83,32.0,99438.0
20130110:1200,16.16,30.15,712.0,910.31,125.0,269.8,2.97,27.0,99341.0
20130110:1300,17.94,25.55,664.0,847.15,142.0,274.8,3.38,23.0,99186.0
20130110:1400,19.07,22.35,556.0,779.58,140.0,277.8,3.86,23.0,99118.0
20130110:1500,19.61,20.6,400.0,712.56,113.0,278.4,4.14,24.0,99079.0
20130110:1600,19.63,20.1,224.0,756.8,48.0,278.2,4.14,26.0,99040.0
20130110:1700,18.7,21.4,0.0,0.0,0.0,278.2,3.24,18.0,99040.0
20130110:1800,16.74,24.8,0.0,0.0,0.0,274.0,3.31,8.0,99021.0
20130110:1900,15.49,28.1,0.0,0.0,0.0,282.8,3.24,4.0,99079.0
20130110:2000,14.11,31.25,0.0,0.0,0.0,277.8,3.38,5.0,99050.0
20130110:2100,12.85,34.35,0.0,0.0,0.0,274.6,3.52,9.0,99069.0
20130110:2200,11.71,37.2,0.0,0.0,0.0,272.2,3.66,14.0,99137.0
20130110:2300,10.59,40.1,0.0,0.0,0.0,266.4,3.79,19.0,99118.0
20130111:0000,9.73,42.3,0.0,0.0,0.0,270.0,3.93,24.0,99108.0
20130111:0100,9.14,44.0,0.0,0.0,0.0,279.6,3.86,25.0,99137.0
20130111:0200,8.37,46.5,0.0,0.0,0.0,273.4,3.79,25.0,99089.0
20130111:0300,7.38,50.0,0.0,0.0,0.0,260.0,3.72,26.0,99079.0
20130111:0400,6.4,53.8,0.0,0.0,0.0,255.6,3.59,29.0,99031.0
20130111:0500,5.49,57.45,0.0,0.0,0.0,253.6,3.45,32.0,99060.0
20130111:0600,4.62,61.0,0.0,0.0,0.0,251.8,3.45,32.0,99021.0
20130111:0700,3.98,63.25,11.0,0.0,11.0,250.4,3.52,40.0,99098.0
20130111:0800,4.54,60.4,222.0,660.39,65.0,250.0,3.24,38.0,99127.0
20130111:0900,7.8,47.7,420.0,792.68,97.0,252.8,2.97,33.0,99205.0
20130111:1000,11.54,36.7,572.0,831.46,125.0,258.0,2.97,27.0,99186.0
20130111:1100,14.54,29.9,677.0,883.31,130.0,264.6,2.9,19.0,99127.0
20130111:1200,16.84,25.55,711.0,893.54,133.0,271.4,3.17,14.0,99069.0
20130111:1300,18.41,22.7,671.0,864.93,136.0,276.2,3.24,10.0,98963.0
20130111:1400,19.38,20.65,559.0,781.37,140.0,279.2,3.24,8.0,98924.0
20130111:1500,19.78,19.45,406.0,727.43,111.0,280.4,3.1,5.0,98904.0
20130111:1600,19.67,19.2,208.0,565.09,75.0,279.4,2.97,2.0,98895.0
20130111:1700,18.73,20.55,0.0,0.0,0.0,276.4,2.62,353.0,98924.0
20130111:1800,16.8,23.5,0.0,0.0,0.0,272.6,3.17,351.0,98914.0
20130111:1900,15.47,25.9,0.0,0.0,0.0,271.6,3.38,354.0,98924.0
20130111:2000,13.99,28.65,0.0,0.0,0.0,268.0,3.45,3.0,98943.0
20130111:2100,12.65,31.55,0.0,0.0,0.0,265.2,3.52,12.0,98982.0
20130111:2200,11.42,34.55,0.0,0.0,0.0,262.8,3.45,20.0,99001.0
20130111:2300,10.21,37.8,0.0,0.0,0.0,260.8,3.45,26.0,99001.0
20130112:0000,9.07,41.25,0.0,0.0,0.0,258.6,3.38,30.0,99001.0
20130112:0100,8.0,44.7,0.0,0.0,0.0,257.0,3.45,32.0,98992.0
20130112:0200,7.05,48.05,0.0,0.0,0.0,255.2,3.52,34.0,98992.0
20130112:0300,6.19,51.3,0.0,0.0,0.0,253.6,3.59,35.0,98963.0
20130112:0400,5.45,54.45,0.0,0.0,0.0,251.6,3.66,37.0,98972.0
20130112:0500,4.75,57.7,0.0,0.0,0.0,250.2,3.66,39.0,98992.0
20130112:0600,4.13,61.1,0.0,0.0,0.0,248.4,3.72,40.0,98992.0
