time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20171129:1300,20.72,28.25,571.0,951.18,75.0,304.2,9.66,244.0,95398.0
20171129:1400,21.23,26.8,426.0,805.23,92.0,307.0,9.86,242.0,95304.0
20171129:1500,21.27,26.3,242.0,596.7,83.0,310.8,9.59,240.0,95304.0
20171129:1600,20.57,27.25,53.0,242.51,32.0,310.6,8.62,236.0,95257.0
20171129:1700,19.27,29.3,0.0,0.0,0.0,304.8,8.34,234.0,95285.0
20171129:1800,18.42,30.6,0.0,0.0,0.0,303.6,8.48,233.0,95295.0
20171129:1900,17.69,31.8,0.0,0.0,0.0,303.2,8.28,231.0,95295.0
20171129:2000,17.03,32.95,0.0,0.0,0.0,301.0,8.48,233.0,95304.0
20171129:2100,16.46,34.1,0.0,0.0,0.0,299.4,8.69,238.0,95313.0
20171129:2200,15.94,35.35,0.0,0.0,0.0,296.8,8.62,241.0,95313.0
20171129:2300,15.48,36.65,0.0,0.0,0.0,297.0,8.62,243.0,95266.0
20171130:0000,15.17,37.75,0.0,0.0,0.0,301.6,8.76,245.0,95229.0
20171130:0100,14.77,39.2,0.0,0.0,0.0,294.8,8.62,246.0,95154.0
20171130:0200,14.4,40.55,0.0,0.0,0.0,292.6,8.55,248.0,95116.0
20171130:0300,14.07,41.7,0.0,0.0,0.0,291.8,8.41,249.0,95069.0
20171130:0400,13.75,42.75,0.0,0.0,0.0,289.8,8.28,250.0,95059.0
20171130:0500,13.42,43.85,0.0,0.0,0.0,288.6,8.21,251.0,95059.0
20171130:0600,13.1,44.95,0.0,0.0,0.0,288.2,8.14,251.0,95050.0
20171130:0700,13.31,44.25,87.0,389.16,41.0,288.4,8.21,251.0,95078.0
20171130:0800,14.43,41.15,254.0,491.2,110.0,289.8,7.59,251.0,95069.0
20171130:0900,16.21,36.65,420.0,639.6,142.0,295.8,8.28,250.0,95116.0
20171130:1000,17.85,32.9,570.0,866.75,108.0,307.4,8.9,251.0,95059.0
20171130:1100,19.47,29.55,649.0,988.67,74.0,313.2,9.17,251.0,95050.0
20171130:1200,20.76,26.95,631.0,923.69,98.0,315.6,9.31,250.0,94890.0
20171130:1300,21.68,25.1,569.0,950.61,75.0,329.8,9.59,247.0,94843.0
20171130:1400,22.18,24.4,376.0,532.18,156.0,335.4,9.59,245.0,94749.0
20171130:1500,22.35,24.35,217.0,414.37,107.0,341.2,9.31,247.0,94768.0
20171130:1600,22.19,19.41,46.0,151.24,33.0,331.2,7.12,248.0,94768.0
20171130:1700,21.04,24.94,0.0,0.0,0.0,328.91,6.79,248.0,94815.0
20171130:1800,19.88,30.48,0.0,0.0,0.0,326.62,6.46,246.0,94834.0
20171130:1900,18.73,36.02,0.0,0.0,0.0,324.33,6.13,243.0,94871.0
20171130:2000,17.57,41.55,0.0,0.0,0.0,322.04,5.8,257.0,94909.0
20171130:2100,16.42,47.09,0.0,0.0,0.0,319.75,5.47,294.0,94994.0
20171130:2200,15.26,52.62,0.0,0.0,0.0,317.46,5.14,315.0,95106.0
20171130:2300,14.11,58.16,0.0,0.0,0.0,315.17,4.82,317.0,95125.0
20161201:0000,12.95,63.69,0.0,0.0,0.0,312.88,4.49,65.0,96810.0
20161201:0100,11.8,69.23,0.0,0.0,0.0,310.59,4.16,59.0,96800.0
20161201:0200,10.64,74.76,0.0,0.0,0.0,308.3,3.83,59.0,96781.0
20161201:0300,9.49,80.3,0.0,0.0,0.0,306.01,3.5,63.0,96800.0
20161201:0400,8.33,85.83,0.0,0.0,0.0,303.72,3.17,74.0,96781.0
20161201:0500,7.18,91.37,0.0,0.0,0.0,301.43,2.84,80.0,96763.0
20161201:0600,6.02,96.91,0.0,0.0,0.0,299.14,2.51,67.0,96819.0
20161201:0700,4.87,100.0,50.0,53.35,44.0,296.85,2.19,47.0,96885.0
20161201:0800,8.46,79.75,244.0,469.77,109.0,301.8,2.55,57.0,96932.0
20161201:0900,9.86,71.45,241.0,74.59,209.0,297.2,3.31,77.0,96941.0
